PRESSURE,sol,time,gt_vortex_ind,PRESSURE_MA_500,PRESSURE_DIFF,preds,autonomous_event_id,SCLK_start,SCLK_end,associated_gt_vortex_ind
744.19,75,12:23:03,252.0,744.62,-0.42999999999995,0.9578621980934924,0,673598750,673598931,
747.58,75,14:35:40,253.0,748.1,-0.5199999999999818,0.9809566107366207,1,673606864,673607122,253.0
753.99,75,21:53:24,,754.45,-0.4600000000000364,0.9672799295889707,2,673633897,673633946,
750.85,76,10:02:52,,751.49,-0.6399999999999864,0.9944141221625441,3,673678489,673680183,
748.1,76,10:25:15,254.0,749.11,-1.009999999999991,0.9999634516803545,4,673680235,673680965,254.0
746.3,76,10:46:54,255.0,747.25,-0.9500000000000455,0.9999058789084597,5,673681077,673681759,255.0
745.08,76,11:36:12,,745.53,-0.4499999999999318,0.9643550231988149,6,673684616,673684802,
744.8,76,12:02:26,,745.25,-0.4500000000000455,0.9643550231988495,7,673686232,673686413,
747.21,76,18:05:47,,747.78,-0.5699999999999363,0.988304472902667,8,673708501,673708914,
759.01,77,01:19:14,,759.59,-0.5800000000000409,0.9894334979326654,9,673735025,673736060,
758.62,77,09:03:54,,759.11,-0.4900000000000091,0.9748896573025034,10,673763538,673764847,
753.97,77,09:50:44,,754.62,-0.6499999999999773,0.9950009264712306,11,673765051,673767114,
748.21,77,11:02:27,,748.68,-0.4699999999999136,0.9700040245450345,12,673771085,673771470,
747.45,77,11:36:36,259.0,747.92,-0.4699999999999136,0.9700040245450345,13,673773389,673773576,
747.82,77,13:19:50,,748.26,-0.4399999999999409,0.961219180630289,14,673779757,673779937,
757.54,77,21:31:48,,757.97,-0.43000000000006366,0.9578621980935319,15,673810066,673810369,
756.28,77,21:54:35,,756.78,-0.5,0.9770707210485714,16,673811447,673811497,
761.72,78,08:36:26,,762.13,-0.40999999999996817,0.9504438552933874,17,673851044,673851224,
761.31,78,08:41:31,,761.73,-0.42000000000007276,0.9542738343205043,18,673851339,673851588,
760.77,78,08:47:54,,761.23,-0.4600000000000364,0.9672799295889707,19,673851736,673852170,
753.55,78,09:58:07,,753.99,-0.44000000000005457,0.9612191806303259,20,673856029,673856425,
752.83,78,10:06:17,,753.32,-0.4900000000000091,0.9748896573025034,21,673856441,673857092,
751.88,78,10:17:51,,752.29,-0.40999999999996817,0.9504438552933874,22,673857294,673857474,
751.64,78,10:20:54,,752.06,-0.4199999999999591,0.9542738343204621,23,673857482,673857662,
750.5,78,10:32:40,,751.03,-0.5299999999999727,0.982679619286552,24,673857667,673858409,
749.64,78,10:43:09,262.0,750.24,-0.6000000000000227,0.9914098563044185,25,673858748,673859042,262.0
749.19,78,10:52:09,,749.63,-0.4399999999999409,0.961219180630289,26,673859406,673859583,
745.36,78,12:00:13,263.0,747.49,-2.1299999999999955,0.9999999999999999,27,673863591,673863806,263.0
756.49,79,01:47:05,,756.92,-0.42999999999995,0.9578621980934924,28,673914565,673914760,
754.51,79,09:43:16,,755.07,-0.5600000000000591,0.9870721763285067,29,673941492,673944662,
747.55,79,10:54:59,266.0,748.26,-0.7100000000000364,0.9975041863145333,30,673948333,673948522,
747.05,79,11:46:11,267.0,747.57,-0.5200000000000955,0.9809566107366411,31,673951483,673951675,
749.98,79,13:47:31,269.0,750.42,-0.4399999999999409,0.961219180630289,32,673958971,673959152,
752.16,79,15:06:06,,752.66,-0.5,0.9770707210485714,33,673963804,673964056,
758.64,79,20:58:01,,759.08,-0.44000000000005457,0.9612191806303259,34,673985501,673985927,
757.48,79,21:32:44,,758.02,-0.5399999999999636,0.9842676743561415,35,673987351,673987826,
754.44,80,10:04:29,,755.05,-0.6099999999999,0.9922704216664905,36,674033677,674035201,
752.17,80,10:29:26,,752.69,-0.5200000000000955,0.9809566107366411,37,674035448,674036241,
750.16,80,10:49:59,,750.78,-0.6200000000000045,0.9930541804007206,38,674036374,674037098,
748.6,80,11:57:39,,749.01,-0.40999999999996817,0.9504438552933874,39,674040953,674041133,
748.37,80,12:05:22,270.0,748.9,-0.5299999999999727,0.982679619286552,40,674041423,674041632,
748.38,80,12:30:53,271.0,748.79,-0.40999999999996817,0.9504438552933874,41,674043001,674043181,
750.6,80,14:45:00,273.0,752.07,-1.4700000000000273,0.999999995326994,42,674051264,674051450,273.0
750.8,80,16:04:35,274.0,751.58,-0.7800000000000864,0.9989575608619545,43,674056167,674056359,274.0
758.02,80,22:05:16,,758.44,-0.42000000000007276,0.9542738343205043,44,674078339,674078583,
760.62,81,09:15:21,,761.11,-0.4900000000000091,0.9748896573025034,45,674118728,674120218,
759.39,81,09:31:12,,759.83,-0.44000000000005457,0.9612191806303259,46,674120422,674120882,
756.92,81,09:53:55,275.0,757.67,-0.75,0.9984718953855597,47,674120892,674122211,275.0
750.18,81,11:12:55,,750.86,-0.6800000000000637,0.9964459138290337,48,674126657,674127418,
749.25,81,11:32:00,276.0,749.92,-0.6699999999999591,0.996012425757749,49,674128120,674128309,
748.66,81,11:45:52,277.0,749.53,-0.8700000000000045,0.9996930384089832,50,674128972,674129166,277.0
748.09,81,12:56:15,278.0,749.27,-1.17999999999995,0.9999981033887678,51,674133316,674133502,
753.14,81,14:53:54,279.0,753.67,-0.5299999999999727,0.982679619286552,52,674140570,674140751,
752.52,81,17:21:33,,752.98,-0.4600000000000364,0.9672799295889707,53,674149669,674149920,
751.41,81,17:39:13,,751.86,-0.4500000000000455,0.9643550231988495,54,674150760,674151122,
750.51,81,17:52:19,,751.01,-0.5,0.9770707210485714,55,674151388,674151800,
758.78,81,21:38:21,,759.42,-0.6399999999999864,0.9944141221625441,56,674165318,674165927,
753.12,82,10:37:25,280.0,754.21,-1.0900000000000318,0.9999904380538163,57,674211160,674214031,280.0
752.74,82,10:50:53,,753.15,-0.40999999999996817,0.9504438552933874,58,674214346,674214526,
752.38,82,10:54:55,,752.89,-0.5099999999999909,0.9790899651955282,59,674214587,674214682,
745.62,82,12:04:35,281.0,749.29,-3.669999999999959,1.0,60,674218877,674219085,281.0
757.39,82,22:26:38,,757.81,-0.4199999999999591,0.9542738343204621,61,674257228,674257409,
756.88,82,22:33:16,,757.36,-0.4800000000000182,0.9725373154481811,62,674257562,674257858,
758.11,83,01:18:28,,758.6,-0.4900000000000091,0.9748896573025034,63,674267813,674268002,
757.69,83,09:14:27,,758.31,-0.6199999999998909,0.9930541804007121,64,674296374,674298778,
753.86,83,09:55:57,,754.37,-0.5099999999999909,0.9790899651955282,65,674299039,674299760,
749.36,83,11:19:41,283.0,749.9,-0.5399999999999636,0.9842676743561415,66,674304875,674305060,
748.32,83,11:54:39,284.0,749.16,-0.8399999999999181,0.9995327652413537,67,674307027,674307155,284.0
760.43,83,21:06:52,,760.88,-0.4500000000000455,0.9643550231988495,68,674341053,674341327,
759.6,83,21:20:42,,760.18,-0.5799999999999272,0.9894334979326531,69,674341742,674342254,
758.74,83,21:40:28,,759.28,-0.5399999999999636,0.9842676743561415,70,674342910,674343417,
760.75,84,08:52:43,,761.46,-0.7100000000000364,0.9975041863145333,71,674384099,674384833,
753.92,84,10:08:48,,754.54,-0.6200000000000045,0.9930541804007206,72,674388633,674390154,
748.91,84,10:46:39,,751.76,-2.8500000000000227,1.0,73,674391508,674391778,
748.13,84,12:33:42,287.0,748.73,-0.6000000000000227,0.9914098563044185,74,674398178,674398371,
751.66,84,15:53:17,288.0,752.19,-0.5300000000000864,0.9826796192865709,75,674410492,674410674,
761.15,84,20:44:17,,761.61,-0.4600000000000364,0.9672799295889707,76,674428418,674428688,
761.02,85,09:07:12,,761.46,-0.44000000000005457,0.9612191806303259,77,674474215,674474574,
757.21,85,09:50:28,,757.82,-0.6100000000000136,0.9922704216664998,78,674475662,674477309,
750.57,85,11:23:40,289.0,751.04,-0.4699999999999136,0.9700040245450345,79,674482617,674482816,
748.97,85,11:44:19,290.0,750.74,-1.7699999999999818,0.9999999999974106,80,674483874,674484110,290.0
750.24,85,11:53:01,291.0,750.65,-0.40999999999996817,0.9504438552933874,81,674484438,674484618,
751.49,85,13:55:50,293.0,751.97,-0.4800000000000182,0.9725373154481811,82,674492007,674492102,
752.81,85,15:23:45,294.0,753.36,-0.5500000000000682,0.9857291656592041,83,674497422,674497610,
751.24,85,15:35:00,295.0,753.44,-2.2000000000000455,1.0,84,674498116,674498303,295.0
760.27,85,21:27:32,,760.79,-0.5199999999999818,0.9809566107366207,85,674519693,674520279,
762.42,86,08:56:45,,762.91,-0.4900000000000091,0.9748896573025034,86,674562028,674562382,
754.75,86,10:10:27,,755.51,-0.7599999999999909,0.9986529375230784,87,674566137,674567250,
754.14,86,10:20:33,,754.61,-0.4700000000000273,0.9700040245450644,88,674567492,674567735,
752.74,86,10:40:14,296.0,753.43,-0.6899999999999409,0.9968366139432635,89,674568436,674568889,296.0
750.31,86,12:02:03,297.0,751.43,-1.1200000000000045,0.9999943512462228,90,674573713,674573982,297.0
750.28,86,12:34:01,298.0,751.05,-0.7699999999999818,0.9988141751737262,91,674575718,674575902,298.0
756.65,86,22:30:42,,757.18,-0.5299999999999727,0.982679619286552,92,674612450,674612723,
760.25,87,01:00:45,,760.72,-0.4700000000000273,0.9700040245450644,93,674621735,674622012,
759.77,87,01:16:19,,760.18,-0.40999999999996817,0.9504438552933874,94,674622704,674622884,
758.94,87,01:33:31,,759.48,-0.5399999999999636,0.9842676743561415,95,674623762,674624180,
758.43,87,01:40:54,,758.89,-0.4600000000000364,0.9672799295889707,96,674624207,674624406,
755.26,87,03:05:21,,755.82,-0.5600000000000591,0.9870721763285067,97,674629423,674629621,
757.47,87,09:39:03,,758.21,-0.7400000000000091,0.998268919041279,98,674651417,674654858,
749.55,87,11:03:00,,749.97,-0.42000000000007276,0.9542738343205043,99,674658865,674659045,
749.46,87,13:02:48,300.0,750.01,-0.5499999999999545,0.9857291656591881,100,674666238,674666435,
760.48,87,21:27:13,,761.04,-0.5599999999999454,0.9870721763284921,101,674697281,674697523,
760.29,87,21:31:41,,760.7,-0.41000000000008185,0.9504438552934323,102,674697613,674697809,
759.68,87,21:37:35,,760.19,-0.5100000000001046,0.9790899651955502,103,674697821,674698303,
762.41,88,08:54:43,,762.9,-0.4900000000000091,0.9748896573025034,104,674739534,674739881,
755.06,88,10:11:33,,755.85,-0.7900000000000773,0.999084881175539,105,674743881,674744820,
752.34,88,10:44:48,,752.9,-0.5599999999999454,0.9870721763284921,106,674745131,674746886,
751.61,88,10:55:11,,752.05,-0.4399999999999409,0.961219180630289,107,674747051,674747329,
749.12,88,12:04:18,304.0,750.06,-0.9399999999999409,0.9998903509304816,108,674751389,674751582,304.0
760.44,88,20:47:37,,760.9,-0.4599999999999227,0.9672799295889386,109,674783643,674783838,
756.88,88,22:33:01,,757.29,-0.40999999999996817,0.9504438552933874,110,674790148,674790328,
758.71,89,01:48:56,,759.12,-0.40999999999996817,0.9504438552933874,111,674802224,674802420,
757.16,89,03:18:06,,757.63,-0.4700000000000273,0.9700040245450644,112,674807704,674807908,
762.0,89,09:02:16,,762.57,-0.57000000000005,0.9883044729026803,113,674828929,674830514,
756.47,89,09:54:47,,757.22,-0.75,0.9984718953855597,114,674830518,674832407,
749.93,89,11:21:24,305.0,751.5,-1.57000000000005,0.9999999995559499,115,674837481,674837712,305.0
753.99,89,14:57:56,308.0,756.36,-2.3700000000000045,1.0,116,674850850,674851038,308.0
758.8,89,21:24:54,,759.32,-0.5200000000000955,0.9809566107366411,117,674874623,674874941,
